project_id,region,origin_expr,origin_bytes,length_expr,length_bytes,constrains_size,source_file,source_line,#,confidence,basis
evt-h417-v5f-iap,RAM,(0x200C0000+512+256),537658112,(256K-512-256),261376,,CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/Common/Ld/V5F/Link_v5f.ld,10,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/Common/Ld/V5F/Link_v5f.ld
evt-h417-v5f-iap,RAM_LOAD,(0x200C0000+512),537657856,256,256,,CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/Common/Ld/V5F/Link_v5f.ld,11,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/Common/Ld/V5F/Link_v5f.ld
evt-h417-v5f-app,FLASH,0x00010000,65536,128K,131072,0,CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_APP/Common/Ld/V5F/Link_v5f.ld,1,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_APP/Common/Ld/V5F/Link_v5f.ld
evt-h417-v5f-app,RAM_CODE,0x200A0000,537526272,128K,131072,,CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_APP/Common/Ld/V5F/Link_v5f.ld,5,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_APP/Common/Ld/V5F/Link_v5f.ld
evt-h417-v5f-app,RAM,(0x200C0000+512+256),537658112,(256K-512-256),261376,,CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_APP/Common/Ld/V5F/Link_v5f.ld,10,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_APP/Common/Ld/V5F/Link_v5f.ld
evt-h417-v5f-app,RAM_LOAD,(0x200C0000+512),537657856,256,256,,CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_APP/Common/Ld/V5F/Link_v5f.ld,11,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_APP/Common/Ld/V5F/Link_v5f.ld
oss-rv003usb-bl,FLASH,0x00000000,,1916,1916,1,rv003usb/bootloader/ch32v003fun-usb-bootloader.ld,1,#,single-source,oss:rv003usb/bootloader/ch32v003fun-usb-bootloader.ld
oss-rv003usb-bl,SECRET,0x0000077C,1916,4,4,,rv003usb/bootloader/ch32v003fun-usb-bootloader.ld,5,#,single-source,oss:rv003usb/bootloader/ch32v003fun-usb-bootloader.ld
oss-rv003usb-bl,RAM,0x20000000,536870912,2K,2048,,rv003usb/bootloader/ch32v003fun-usb-bootloader.ld,5,#,single-source,oss:rv003usb/bootloader/ch32v003fun-usb-bootloader.ld
oss-ch32fun-bl,FLASH,0x00000000,,3328,3328,,ch32fun/examples_usb/bootloader/ch32x035-usb-bootloader.ld,1,#,single-source,oss:ch32fun/examples_usb/bootloader/ch32x035-usb-bootloader.ld
oss-ch32fun-bl,RAM,0x20000000,536870912,20K,20480,,ch32fun/examples_usb/bootloader/ch32x035-usb-bootloader.ld,5,#,single-source,oss:ch32fun/examples_usb/bootloader/ch32x035-usb-bootloader.ld
oss-ch32fun-bl,FLASH,0x00000000,,8192,8192,,ch32fun/examples_usb/bootloader/ch570-usb-bootloader.ld,1,#,single-source,oss:ch32fun/examples_usb/bootloader/ch570-usb-bootloader.ld
oss-ch32fun-bl,RAM,0x20000000,536870912,12K,12288,,ch32fun/examples_usb/bootloader/ch570-usb-bootloader.ld,5,#,single-source,oss:ch32fun/examples_usb/bootloader/ch570-usb-bootloader.ld
