project_id,kind,vendor,series,family,role,repo,path,doc_version,doc_date,transport_primary,transport_secondary,resides_in,core,src_file_count,src_bytes,src_lines,tmpl_series,tmpl_mcu,tmpl_mcu_type,tmpl_address,tmpl_target_path,tmpl_out_format,tmpl_sdi_printf,ld_ref_path,ld_present,#,confidence,basis
evt-v30x-iap,evt-iap,WCH,CH32V30x,CH32V30x,bl,CH32V307,EVT/EXAM/IAP/USB_UART/CHV30x_IAP,V1.0.1,2025/01/09,,,,,14,149739,4386,CH32V307,CH32V307RCT,CH32V30x,0x08000000,obj\CHV30x_IAP.hex,hex,false,${workspace_loc:/${ProjName}/Ld/Link.ld,0,#,single-source,evt:CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/.template
evt-v30x-app,evt-app,WCH,CH32V30x,CH32V30x,app,CH32V307,EVT/EXAM/IAP/USB_UART/CHV30x_APP,V1.0.1,2025/01/09,,,,,15,152828,4499,CH32V307,CH32V307RCT,CH32V30x,0x08000000,obj\CHV307_APP.hex,hex,false,${workspace_loc:/${ProjName}/LD/Link.ld,1,#,single-source,evt:CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_APP/.template
evt-v407-iap,evt-iap,WCH,CH32V407,CH32V407,bl,CH32V407,EVT/EXAM/IAP/USB_UART/CH32V407_IAP,V1.0.0,2025/12/01,,,,,17,111407,3388,CH32V4X7,CH32V407RET,CH32V4X7,0x08000000,obj\CH32V407_IAP.hex,hex,false,${workspace_loc:/${ProjName}/Ld/Link.ld,1,#,single-source,evt:CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/.template
evt-v407-app,evt-app,WCH,CH32V407,CH32V407,app,CH32V407,EVT/EXAM/IAP/USB_UART/CH32V407_APP,V1.0.0,2025/12/01,,,,,17,107515,3249,CH32V4X7,CH32V407RET,CH32V4X7,0x08000000,obj\CH32V407_APP.hex,hex,false,${workspace_loc:/${ProjName}/Ld/Link.ld,1,#,single-source,evt:CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_APP/.template
evt-x035-iap,evt-iap,WCH,CH32X035,CH32X035,bl,CH32X035,EVT/EXAM/IAP/USB_UART/CH32X035_IAP,V1.0.2,2025/10/27,,,,,11,85714,2364,CH32X035,CH32X035R8T,CH32X035,0x08000000,obj\IAP.hex,hex,false,${workspace_loc:/${ProjName}/Ld/Link.ld,0,#,single-source,evt:CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/.template
evt-x035-app,evt-app,WCH,CH32X035,CH32X035,app,CH32X035,EVT/EXAM/IAP/USB_UART/CH32X035_APP,V1.0.2,2025/10/27,,,,,12,84981,2361,CH32X035,CH32X035R8T,CH32X035,0x08000000,obj\APP.bin,bin,false,${workspace_loc:/${ProjName}/Ld/Link.ld,1,#,single-source,evt:CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_APP/.template
evt-x315-iap,evt-iap,WCH,CH32X315,CH32X315,bl,CH32X315,EVT/EXAM/IAP/USB_UART/CH32X315_IAP,V1.0.0,2025/12/01,,,,,17,105420,3167,CH32X315,CH32X305RCT,CH32X315,0x08000000,obj/CH32X315_IAP.hex,hex,false,${workspace_loc:/${ProjName}/Ld/Link.ld,1,#,single-source,evt:CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/.template
evt-x315-app,evt-app,WCH,CH32X315,CH32X315,app,CH32X315,EVT/EXAM/IAP/USB_UART/CH32X315_APP,V1.0.0,2025/12/01,,,,,17,101646,3029,CH32X315,CH32X305RCT,CH32X315,0x08000000,obj/CH32X315_APP.hex,hex,false,${workspace_loc:/${ProjName}/Ld/Link.ld,1,#,single-source,evt:CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_APP/.template
evt-l103-iap,evt-iap,WCH,CH32L103,CH32L103,bl,CH32L103,EVT/EXAM/IAP/USB_UART/CH32L103_IAP,V1.0.1,2025/01/13,,,,,14,88714,2629,CH32L103,CH32L103C8T,CH32L10x,0x08000000,obj/CH32L103_IAP.hex,hex,false,${workspace_loc:/${ProjName}/Ld/Link.ld,0,#,single-source,evt:CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/.template
evt-l103-app,evt-app,WCH,CH32L103,CH32L103,app,CH32L103,EVT/EXAM/IAP/USB_UART/CH32L103_APP,V1.0.1,2025/01/13,,,,,15,84504,2604,CH32L103,CH32L103C8T,CH32L10x,0x08000000,obj/CH32L103_APP.hex,hex,false,${workspace_loc:/${ProjName}/Ld/Link.ld,1,#,single-source,evt:CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_APP/.template
evt-m030-iap,evt-iap,WCH,CH32M030,CH32M030,bl,CH32M030,EVT/EXAM/IAP/UART_USB_IAP/CH32M030_IAP,V1.0.1,2025/01/13,,,,,10,71493,2131,CH32M030,CH32M030C8T,CH32M030,0x08000000,obj\CH32M030_IAP.hex,hex,false,${workspace_loc:/${ProjName}/Ld/Link.ld,0,#,single-source,evt:CH32M030/EVT/EXAM/IAP/UART_USB_IAP/CH32M030_IAP/.template
evt-m030-app,evt-app,WCH,CH32M030,CH32M030,app,CH32M030,EVT/EXAM/IAP/UART_USB_IAP/CH32M030_APP,V1.0.1,2025/01/13,,,,,11,70154,2115,CH32M030,CH32M030C8T,CH32M030,0x08000000,obj\CH32M030_APP.bin,bin,false,${workspace_loc:/${ProjName}/Ld/Link.ld,1,#,single-source,evt:CH32M030/EVT/EXAM/IAP/UART_USB_IAP/CH32M030_APP/.template
evt-h417-v3f-iap,evt-iap,WCH,CH32H417,CH32H417,bl,CH32H417,EVT/EXAM/IAP/USB_UART/CH32H417_IAP/V3F,,,,,,QingKeV3F/RV32IMAFC,24,146453,4331,CH32H417,CH32H417QEU,CH32H417,0x08000000,obj/CH32H417_IAP_V3F.hex,hex,false,,1,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/V3F/.template
evt-h417-v3f-app,evt-app,WCH,CH32H417,CH32H417,app,CH32H417,EVT/EXAM/IAP/USB_UART/CH32H417_APP/V3F,,,,,,QingKeV3F/RV32IMAFC,24,138445,4152,CH32H417,CH32H417QEU,CH32H417,0x08000000,obj/CH32H417_APP_V3F.hex,hex,false,,1,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_APP/V3F/.template
evt-h417-v5f-iap,evt-iap,WCH,CH32H417,CH32H417,bl,CH32H417,EVT/EXAM/IAP/USB_UART/CH32H417_IAP/V5F,,,,,,QingKeV5F/RV32IMAFCB,24,124530,3656,CH32H417,CH32H417QEU,CH32H417,0x08000000,obj/CH32H417_IAP_V5F.hex,hex,false,,1,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_IAP/V5F/.template
evt-h417-v5f-app,evt-app,WCH,CH32H417,CH32H417,app,CH32H417,EVT/EXAM/IAP/USB_UART/CH32H417_APP/V5F,,,,,,QingKeV5F/RV32IMAFCB,24,116888,3492,CH32H417,CH32H417QEU,CH32H417,0x08000000,obj/Merge.Bin,bin,false,,1,#,single-source,evt:CH32H417/EVT/EXAM/IAP/USB_UART/CH32H417_APP/V5F/.template
oss-rv003usb-bl,oss-bl,OSS,CH32V003,CH32V003,bl,rv003usb,bootloader,,,software-usb-hid,,boot-region,QingKeV2A/RV32EC,11,31153,1155,,,,,,,,,1,#,single-source,oss:rv003usb/bootloader
oss-ch32fun-bl,oss-bl,OSS,CH32X035;CH5xx,CH32X035;CH5xx,bl,ch32fun,examples_usb/bootloader,,,hardware-usb-hid,,boot-region,QingKeV4C/RV32IMAC,5,21764,820,,,,,,,,,1,#,single-source,oss:ch32fun/examples_usb/bootloader
oss-uiap-flasher,oss-bl,OSS,CH32V003,CH32V003,app,ch32_user_bootloader_flasher,.,,,swio,,application,QingKeV2A/RV32EC,7,23866,906,,,,,,,,,0,#,single-source,oss:ch32_user_bootloader_flasher
