project_id,repo,path,bytes,lines,sha256,role,#,confidence,basis
evt-v00x-iap,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/main.c,2933,95,2ae51cd1e0db5b2a59a4d5e37d6e77e74a29bc215bb6a61a2af00bb94cf9fd87,entry,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/main.c
evt-v00x-iap,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/system_ch32v00X.c,13448,457,015d6f31140e18f5f4394145b1d08de17916a4b10aa4f1bd3fd30b0dea9b6fd1,startup,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/system_ch32v00X.c
evt-v00x-iap,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/system_ch32v00X.h,1053,33,3e94005009d704c9c5767620f9f32c21d2441f99c24b9e9c136f63aed75ceafd,startup,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/system_ch32v00X.h
evt-v00x-app,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/ch32v00X_conf.h,1221,41,c7876482c9c47ac8b0d59772584177253b86fd6e081e0eb9c4300d595ea8e9ad,support,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/ch32v00X_conf.h
evt-v00x-app,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/ch32v00X_it.c,1341,47,dbbfa030d6fa9a982d273f974ff4d0ab1fcc1d61ea7360fb78652752ef1f8683,support,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/ch32v00X_it.c
evt-v00x-app,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/ch32v00X_it.h,762,21,b399db784fe4ab53e9812ceecd01c5b7c1e9850afb32287d91260e316f99acde,support,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/ch32v00X_it.h
evt-v00x-app,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/flash.c,973,29,c897c5c47ea6a3a32d2a6cf9b99c5fb83a5a84aafdffa3e2bca30fa193c60ef5,flash,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/flash.c
evt-v00x-app,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/flash.h,743,21,f824f3f5bf649ca0da4ffc81b761e36cf45032d53cd0d076f8b69284ca897e13,flash,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/flash.h
evt-v00x-app,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.c,5584,179,1d687f899103c5222e687a17abe58dc32a33fdbdb91f28629e3247118dbceb11,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.c
evt-v00x-app,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h,1510,60,057f8f5ecaa9f7c201e0bb3f3cd100a45ed1ea97ac7a87085371efaf94fcdcbf,protocol,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/iap.h
evt-v00x-app,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/main.c,4152,134,9a8a02b5253cc7ea0ddfed00e2d0327adf6a5e8555b61e3bcbed8ecf9a3f0db0,entry,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/main.c
evt-v00x-app,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/system_ch32v00X.c,13448,457,01e9877e9cce89921676eea830be0a395c56b927e0a89b1b3966da6da3960cd2,startup,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/system_ch32v00X.c
evt-v00x-app,CH32V006,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/system_ch32v00X.h,1053,33,3e94005009d704c9c5767620f9f32c21d2441f99c24b9e9c136f63aed75ceafd,startup,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/User/system_ch32v00X.h
evt-v103-iap,CH32V103,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/ch32v10x_conf.h,1317,38,bc7e9b817715fb95cde58fd46abf07c4d3d77491b5476dcf957ef9eb62ecde4e,support,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/ch32v10x_conf.h
evt-v103-iap,CH32V103,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/ch32v10x_it.c,1724,64,5ed3ecc8e0efa7b708fcdc68ad739f164a1cfd235f31f2dc7e794821c496733c,support,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/ch32v10x_it.c
