project_id,series,transport,sync1,sync2,header_layout,cmd_name,cmd_byte,direction,source_file,source_line,#,confidence,basis
evt-v30x-iap,CH32V30x,uart+usb,0xaa,0x55,,CMD_IAP_ERASE,0x81,host->target,CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/iap.h,28,#,single-source,evt:CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/iap.h(L28)
evt-v30x-iap,CH32V30x,uart+usb,0xaa,0x55,,CMD_IAP_VERIFY,0x82,host->target,CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/iap.h,29,#,single-source,evt:CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/iap.h(L29)
evt-v30x-iap,CH32V30x,uart+usb,0xaa,0x55,,CMD_IAP_END,0x83,host->target,CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/iap.h,30,#,single-source,evt:CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/iap.h(L30)
evt-v30x-iap,CH32V30x,uart+usb,0xaa,0x55,,CMD_JUMP_IAP,0x84,host->target,CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/iap.h,31,#,single-source,evt:CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/iap.h(L31)
evt-v30x-iap,CH32V30x,uart+usb,0xaa,0x55,,ERR_SUCCESS,0x00,target->host,CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/iap.h,33,#,single-source,evt:CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/iap.h(L33)
evt-v30x-iap,CH32V30x,uart+usb,0xaa,0x55,,ERR_ERROR,0x01,target->host,CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/iap.h,34,#,single-source,evt:CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/iap.h(L34)
evt-v30x-iap,CH32V30x,uart+usb,0xaa,0x55,,ERR_End,0x02,target->host,CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/iap.h,35,#,single-source,evt:CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/iap.h(L35)
evt-v407-iap,CH32V407,uart+usb,0xaa,0x55,struct{ u8 Cmd; u8 Len; u8 data[64]; }UART; struct{ u8 Cmd; u8 Len; u8 data[62]; }program; struct{ u8 Cmd; u8 Len; u8 addr[4]; u8 data[56]; }verify; struct{ u8 buf[64+4]; }other;,CMD_IAP_PROM,0x80,host->target,CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.h,28,#,single-source,evt:CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.h(L28)
evt-v407-iap,CH32V407,uart+usb,0xaa,0x55,,CMD_IAP_ERASE,0x81,host->target,CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.h,29,#,single-source,evt:CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.h(L29)
evt-v407-iap,CH32V407,uart+usb,0xaa,0x55,,CMD_IAP_VERIFY,0x82,host->target,CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.h,30,#,single-source,evt:CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.h(L30)
evt-v407-iap,CH32V407,uart+usb,0xaa,0x55,,CMD_IAP_END,0x83,host->target,CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.h,31,#,single-source,evt:CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.h(L31)
evt-v407-iap,CH32V407,uart+usb,0xaa,0x55,,CMD_JUMP_IAP,0x84,host->target,CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.h,32,#,single-source,evt:CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.h(L32)
evt-v407-iap,CH32V407,uart+usb,0xaa,0x55,,ERR_SUCCESS,0x00,target->host,CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.h,34,#,single-source,evt:CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.h(L34)
evt-v407-iap,CH32V407,uart+usb,0xaa,0x55,,ERR_ERROR,0x01,target->host,CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.h,35,#,single-source,evt:CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.h(L35)
evt-v407-iap,CH32V407,uart+usb,0xaa,0x55,,ERR_End,0x02,target->host,CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.h,36,#,single-source,evt:CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.h(L36)
evt-x035-iap,CH32X035,uart+usb,0xaa,0x55,struct{ u8 Cmd; u8 Len; u8 data[64]; }UART; struct{ u8 Cmd; u8 Len; u8 data[62]; }program; struct{ u8 Cmd; u8 Len; u8 addr[4]; u8 data[56]; }verify; struct{ u8 buf[64+4]; }other;,CMD_IAP_PROM,0x80,host->target,CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.h,25,#,single-source,evt:CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.h(L25)
evt-x035-iap,CH32X035,uart+usb,0xaa,0x55,,CMD_IAP_ERASE,0x81,host->target,CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.h,26,#,single-source,evt:CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.h(L26)
evt-x035-iap,CH32X035,uart+usb,0xaa,0x55,,CMD_IAP_VERIFY,0x82,host->target,CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.h,27,#,single-source,evt:CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.h(L27)
evt-x035-iap,CH32X035,uart+usb,0xaa,0x55,,CMD_IAP_END,0x83,host->target,CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.h,28,#,single-source,evt:CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.h(L28)
evt-x035-iap,CH32X035,uart+usb,0xaa,0x55,,CMD_JUMP_IAP,0x84,host->target,CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.h,29,#,single-source,evt:CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.h(L29)
evt-x035-iap,CH32X035,uart+usb,0xaa,0x55,,ERR_SUCCESS,0x00,target->host,CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.h,31,#,single-source,evt:CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.h(L31)
evt-x035-iap,CH32X035,uart+usb,0xaa,0x55,,ERR_ERROR,0x01,target->host,CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.h,32,#,single-source,evt:CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.h(L32)
evt-x035-iap,CH32X035,uart+usb,0xaa,0x55,,ERR_End,0x02,target->host,CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.h,33,#,single-source,evt:CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.h(L33)
evt-x315-iap,CH32X315,uart+usb,0xaa,0x55,struct{ u8 Cmd; u8 Len; u8 data[64]; }UART; struct{ u8 Cmd; u8 Len; u8 data[62]; }program; struct{ u8 Cmd; u8 Len; u8 addr[4]; u8 data[56]; }verify; struct{ u8 buf[64+4]; }other;,CMD_IAP_PROM,0x80,host->target,CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/User/iap.h,28,#,single-source,evt:CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/User/iap.h(L28)
evt-x315-iap,CH32X315,uart+usb,0xaa,0x55,,CMD_IAP_ERASE,0x81,host->target,CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/User/iap.h,29,#,single-source,evt:CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/User/iap.h(L29)
evt-x315-iap,CH32X315,uart+usb,0xaa,0x55,,CMD_IAP_VERIFY,0x82,host->target,CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/User/iap.h,30,#,single-source,evt:CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/User/iap.h(L30)
evt-x315-iap,CH32X315,uart+usb,0xaa,0x55,,CMD_IAP_END,0x83,host->target,CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/User/iap.h,31,#,single-source,evt:CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/User/iap.h(L31)
evt-x315-iap,CH32X315,uart+usb,0xaa,0x55,,CMD_JUMP_IAP,0x84,host->target,CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/User/iap.h,32,#,single-source,evt:CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/User/iap.h(L32)
evt-x315-iap,CH32X315,uart+usb,0xaa,0x55,,ERR_SUCCESS,0x00,target->host,CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/User/iap.h,34,#,single-source,evt:CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/User/iap.h(L34)
evt-x315-iap,CH32X315,uart+usb,0xaa,0x55,,ERR_ERROR,0x01,target->host,CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/User/iap.h,35,#,single-source,evt:CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/User/iap.h(L35)
evt-x315-iap,CH32X315,uart+usb,0xaa,0x55,,ERR_End,0x02,target->host,CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/User/iap.h,36,#,single-source,evt:CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/User/iap.h(L36)
evt-l103-iap,CH32L103,uart+usb,0xaa,0x55,struct{ u8 Cmd; u8 Len; u8 data[64]; }UART; struct{ u8 Cmd; u8 Len; u8 data[62]; }program; struct{ u8 Cmd; u8 Len; u8 addr[4]; u8 data[56]; }verify; struct{ u8 buf[64+4]; }other;,CMD_IAP_PROM,0x80,host->target,CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/User/iap.h,25,#,single-source,evt:CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/User/iap.h(L25)
evt-l103-iap,CH32L103,uart+usb,0xaa,0x55,,CMD_IAP_ERASE,0x81,host->target,CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/User/iap.h,26,#,single-source,evt:CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/User/iap.h(L26)
evt-l103-iap,CH32L103,uart+usb,0xaa,0x55,,CMD_IAP_VERIFY,0x82,host->target,CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/User/iap.h,27,#,single-source,evt:CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/User/iap.h(L27)
evt-l103-iap,CH32L103,uart+usb,0xaa,0x55,,CMD_IAP_END,0x83,host->target,CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/User/iap.h,28,#,single-source,evt:CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/User/iap.h(L28)
evt-l103-iap,CH32L103,uart+usb,0xaa,0x55,,CMD_JUMP_IAP,0x84,host->target,CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/User/iap.h,29,#,single-source,evt:CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/User/iap.h(L29)
evt-l103-iap,CH32L103,uart+usb,0xaa,0x55,,ERR_SUCCESS,0x00,target->host,CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/User/iap.h,31,#,single-source,evt:CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/User/iap.h(L31)
evt-l103-iap,CH32L103,uart+usb,0xaa,0x55,,ERR_ERROR,0x01,target->host,CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/User/iap.h,32,#,single-source,evt:CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/User/iap.h(L32)
evt-l103-iap,CH32L103,uart+usb,0xaa,0x55,,ERR_End,0x02,target->host,CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/User/iap.h,33,#,single-source,evt:CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/User/iap.h(L33)
evt-m030-iap,CH32M030,uart+usb,0xaa,0x55,struct{ u8 Cmd; u8 Len; u8 data[64]; }UART; struct{ u8 Cmd; u8 Len; u8 data[62]; }program; struct{ u8 Cmd; u8 Len; u8 addr[4]; u8 data[56]; }verify; struct{ u8 buf[64+4]; }other;,CMD_IAP_PROM,0x80,host->target,CH32M030/EVT/EXAM/IAP/UART_USB_IAP/CH32M030_IAP/User/iap.h,25,#,single-source,evt:CH32M030/EVT/EXAM/IAP/UART_USB_IAP/CH32M030_IAP/User/iap.h(L25)
evt-m030-iap,CH32M030,uart+usb,0xaa,0x55,,CMD_IAP_ERASE,0x81,host->target,CH32M030/EVT/EXAM/IAP/UART_USB_IAP/CH32M030_IAP/User/iap.h,26,#,single-source,evt:CH32M030/EVT/EXAM/IAP/UART_USB_IAP/CH32M030_IAP/User/iap.h(L26)
evt-m030-iap,CH32M030,uart+usb,0xaa,0x55,,CMD_IAP_VERIFY,0x82,host->target,CH32M030/EVT/EXAM/IAP/UART_USB_IAP/CH32M030_IAP/User/iap.h,27,#,single-source,evt:CH32M030/EVT/EXAM/IAP/UART_USB_IAP/CH32M030_IAP/User/iap.h(L27)
evt-m030-iap,CH32M030,uart+usb,0xaa,0x55,,CMD_IAP_END,0x83,host->target,CH32M030/EVT/EXAM/IAP/UART_USB_IAP/CH32M030_IAP/User/iap.h,28,#,single-source,evt:CH32M030/EVT/EXAM/IAP/UART_USB_IAP/CH32M030_IAP/User/iap.h(L28)
evt-m030-iap,CH32M030,uart+usb,0xaa,0x55,,CMD_JUMP_IAP,0x84,host->target,CH32M030/EVT/EXAM/IAP/UART_USB_IAP/CH32M030_IAP/User/iap.h,29,#,single-source,evt:CH32M030/EVT/EXAM/IAP/UART_USB_IAP/CH32M030_IAP/User/iap.h(L29)
